Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/1000 Libraries/ALCZAR COMPANIES (alccmp)(Library),ALCZAR COMPANIES (alccmp),Library,Library,,14/08/2019 12:03:51 PM,ird0sxd,3/04/2020 8:09:49 AM,ird0axs
/IRD/DIP Data Management/1000 Libraries/ALCZAR DIA DEATHS (alcdth)(Library),ALCZAR DIA DEATHS (alcdth),Library,Library,,21/08/2019 2:20:59 PM,ird0sxd,9/10/2019 9:29:46 AM,ird0lxf
/IRD/DIP Data Management/1000 Libraries/ALCZAR EFTPOS (alcefp)(Library),ALCZAR EFTPOS (alcefp),Library,Library,,23/10/2019 8:26:29 PM,ird0sxd,23/10/2019 8:26:29 PM,ird0sxd
/IRD/DIP Data Management/1000 Libraries/ALCZAR PROPERTY (alcpty)(Library),ALCZAR PROPERTY (alcpty),Library,Library,,21/08/2019 2:18:51 PM,ird0sxd,9/10/2019 9:30:23 AM,ird0lxf
/IRD/DIP Data Management/1000 Libraries/ALCZAR_MODELLING (alcmod)(Library),ALCZAR_MODELLING (alcmod),Library,Library,,26/02/2020 8:35:08 AM,ird0sxd,26/02/2020 8:35:08 AM,ird0sxd
/IRD/DIP Data Management/1000 Libraries/DIP CAS Factory Silver Publish (casfsilp)(Library),DIP CAS Factory Silver Publish (casfsilp),Library,Library,,10/02/2020 2:06:59 PM,ird0mxw,14/02/2020 9:58:17 AM,ird0mxw
/IRD/DIP Data Management/1000 Libraries/DIP CAS Factory Silver Work (casfsilw)(Library),DIP CAS Factory Silver Work (casfsilw),Library,Library,,7/02/2020 11:32:07 AM,ird0mxw,13/02/2020 9:03:33 AM,ird0mxw
/IRD/DIP Data Management/1000 Libraries/DIP CAS Factory Views (casfvws)(Library),DIP CAS Factory Views (casfvws),Library,Library,,7/02/2020 11:31:03 AM,ird0mxw,13/02/2020 9:03:01 AM,ird0mxw
/IRD/DIP Data Management/1000 Libraries/DIP CAS Lab Views (caslvws)(Library),DIP CAS Lab Views (caslvws),Library,Library,,13/06/2019 2:47:45 PM,ird0mxw,24/02/2020 2:49:43 PM,ird0nxa
/IRD/DIP Data Management/1000 Libraries/DIP Hive Staging (hivestg)(Library),DIP Hive Staging (hivestg),Library,Library,,29/05/2019 2:24:51 PM,ird0mxw,14/01/2020 3:29:13 PM,ird0lxf
