Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblacaseall(Table),app_tblacaseall,Table,Table,,4/07/2019 10:07:49 AM,ird0dxi,16/03/2020 2:38:09 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblacaselog(Table),app_tblacaselog,Table,Table,,4/06/2020 11:05:17 AM,ird0dxm,4/06/2020 11:05:17 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblaccount(Table),app_tblaccount,Table,Table,,31/05/2019 5:24:30 PM,ird0mxw,16/03/2020 2:38:42 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblaccountinfo(Table),app_tblaccountinfo,Table,Table,,6/09/2019 2:05:51 PM,ird0dxi,16/03/2020 2:38:55 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tbladdressprofile(Table),app_tbladdressprofile,Table,Table,,16/06/2020 4:38:58 PM,ird0sxd,16/06/2020 4:38:58 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tbladdressrecord(Table),app_tbladdressrecord,Table,Table,,3/07/2019 9:02:30 AM,ird0dxi,14/05/2020 3:20:44 PM,ird0mxw
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblallocation(Table),app_tblallocation,Table,Table,,10/10/2019 6:28:19 AM,ird0dxi,16/03/2020 2:39:18 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblaudit(Table),app_tblaudit,Table,Table,,2/07/2019 12:40:12 PM,ird0dxi,16/03/2020 2:39:28 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditdetail(Table),app_tblauditdetail,Table,Table,,4/07/2019 8:26:13 AM,ird0dxi,16/03/2020 2:39:39 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditgroup(Table),app_tblauditgroup,Table,Table,,1/08/2019 10:25:41 AM,ird0dxi,16/03/2020 2:39:55 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditgroupcustomer(Table),app_tblauditgroupcustomer,Table,Table,,5/07/2019 11:16:02 AM,ird0dxi,16/03/2020 2:40:06 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditgroupdetail(Table),app_tblauditgroupdetail,Table,Table,,28/02/2020 2:08:57 PM,ird0nxl,16/03/2020 2:40:15 PM,ird0nxl
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditgrouptoaudit(Table),app_tblauditgrouptoaudit,Table,Table,,31/03/2020 3:50:01 PM,ird0sxd,31/03/2020 4:46:45 PM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblauditperiod(Table),app_tblauditperiod,Table,Table,,15/04/2020 7:57:50 AM,ird0dxi,15/04/2020 7:57:50 AM,ird0dxm
/IRD/DIP Data Management/3000 Repositories/DIP/DIP Impala Raw/10 In Production/app_tblbalance(Table),app_tblbalance,Table,Table,,24/03/2020 9:23:44 AM,ird0dxi,24/03/2020 9:23:44 AM,ird0dxm
