Path,Name,TypeName,Type,Description,Created,CreatedBy,Modified,ModifiedBy
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/Check Depedency Refined Account EDW(Job),Check Depedency Refined Account EDW,Job,Job,,18/06/2020 10:43:24 AM,ird0sxw,18/06/2020 11:48:09 AM,ird0sxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/Check Depedency Refined Account START(Job),Check Depedency Refined Account START,Job,Job,,18/06/2020 10:43:24 AM,ird0sxw,23/06/2020 8:38:04 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/Check Depedency Refined Party START(Job),Check Depedency Refined Party START,Job,Job,,5/06/2020 2:16:21 PM,ird0mxw,9/06/2020 5:13:09 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/LCF V_WORKFLOW_STATUS_10DAYS Copy(Job),LCF V_WORKFLOW_STATUS_10DAYS Copy,Job,Job,,14/05/2020 1:37:51 PM,ird0mxw,9/06/2020 9:20:47 AM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/LCF Workflow Monitoring Email(Job),LCF Workflow Monitoring Email,Job,Job,,19/05/2020 2:15:47 PM,ird0mxw,19/05/2020 2:15:47 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/LCF WORKFLOW_JOB(Job),LCF WORKFLOW_JOB,Job,Job,,30/04/2020 11:20:01 AM,ird0mxw,13/05/2020 12:26:21 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/LCF WORKFLOW_JOB_RUN(Job),LCF WORKFLOW_JOB_RUN,Job,Job,,30/04/2020 11:20:01 AM,ird0mxw,10/06/2020 9:08:33 PM,ird0mxw
/IRD/DIP Data Management/5000 Processes/80 Workflow Monitoring/LSF EVENT_LOG(Job),LSF EVENT_LOG,Job,Job,,20/04/2020 3:55:07 PM,ird0mxw,15/06/2020 3:41:43 PM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/80 Workflow Monitoring/Check_Depedency_Refined_Account_EDW(DeployedJob),Check_Depedency_Refined_Account_EDW,DeployedJob,Deployed job,,23/06/2020 8:37:46 AM,ird0mxw,23/06/2020 8:37:46 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/80 Workflow Monitoring/Check_Depedency_Refined_Account_START(DeployedJob),Check_Depedency_Refined_Account_START,DeployedJob,Deployed job,,23/06/2020 8:37:46 AM,,23/06/2020 8:38:15 AM,ird0mxw
/IRD/DIP Data Management/6000 Deployment/80 Workflow Monitoring/Check_Depedency_Refined_Party_START(DeployedJob),Check_Depedency_Refined_Party_START,DeployedJob,Deployed job,,9/06/2020 4:56:15 PM,,10/06/2020 9:08:44 PM,ird0mxw
